ID,Ethnicity_Catagory,Ethnicity_Quest,Gender,Age,Age_Range,Wash_Freq of BB (# times per week),Wash_Range,Innie_or_outie,Country til age 12,ZIP code til age 12,Country ages 13-19,Zipcode ages 13-19,Current ZIPcode,Current City,Current State,Reads
1498,non-Hispanic White,Caucasian,Female,27,19 to 35,0,none,Innie,usa,27511,usa,27502,,Raleigh,NC,1000
1538,non-Hispanic White,Caucasian,Male,35,19 to 35,0,none,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NC,1000
1348,Hispanic,Spanish,Male,31,19 to 35,1,Less than 7,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Cary,NC,1000
1364,non-Hispanic White,Caucasian,Male,10,8 to 18,4,Less than 7,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Cary,NC,1000
1372,non-Hispanic White,Caucasian,Female,59,36 to 74,7,7 days a week,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
1406,Unknown,Unknown,Male,50,36 to 74,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Fayetteville,NC,1000
1428,non-Hispanic White,Caucasian,Male,9,8 to 18,2,Less than 7,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Garner,NC,1000
1436,non-Hispanic White,caucasian,Male,22,19 to 35,7,7 days a week,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
1559,Hispanic,Hispanic,Male,21,19 to 35,0,none,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1000
1349,Hispanic,Puerto Rican,Female,52,36 to 74,1,Less than 7,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Ridgewood,NY,1000
1571,non-Hispanic White,Caucasian,Female,52,36 to 74,0,none,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NC,1000
1407,non-Hispanic White,Caucasian,Male,48,36 to 74,3,Less than 7,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Fayetteville,NC,1000
