ID,Ethnicity_Catagory,Ethnicity_Quest,Gender,Age,Age_Range,Wash_Freq of BB (# times per week),Wash_Range,Innie_or_outie,Country til age 12,ZIP code til age 12,Country ages 13-19,Zipcode ages 13-19,Current ZIPcode,Current City,Current State,Reads
1153,non-Hispanic White,Caucasian,Female,18,8 to 18,Unknown,Unknown,Innie ,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
1161,non-Hispanic White,Caucasian,Male,28,19 to 35,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
1169,Indian,Indian,Male,7,0 to 7,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,FairFax,VA,1000
979,Unknown,Unknown,Female,35,19 to 35,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Durham,NC,1000
1113,non-Hispanic Black,African American,Female,8,8 to 18,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Conway,NC,1000
1121,Unknown,Unknown,Female,12,8 to 18,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Louisburg,NC,1000
1145,non-Hispanic White,Caucasian,Male,35,19 to 35,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Chapel Hill,NC,1000
1154,non-Hispanic White,Caucasian,Female,23,19 to 35,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Chapel Hill,NC,1000
1162,Unknown,Unknown,Female,36,36 to 74,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Plantation,FL,1000
1170,Indian,Indian,Male,44,36 to 74,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,FairFax,VA,1000
980,non-Hispanic White,Caucasian,Female,52,36 to 74,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
988,non-Hispanic White,Caucasian,Female,59,36 to 74,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
1106,non-Hispanic White,Caucasian,Male,74,36 to 74,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Stanford,CT,1000
1114,non-Hispanic Black,African American/Caucasian,Female,3,0 to 7,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Greensboro,NC,1000
1122,Hispanic,Multi,Female,15,8 to 18,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Louisburg,NC,1000
1138,Hispanic,Hispanic,Male,10,8 to 18,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Durham,NC,1000
1146,Asian,Eurasian,Male,25,19 to 35,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
1163,non-Hispanic Black,African American,Female,14,8 to 18,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
1171,non-Hispanic White,Caucasian,Male,18,8 to 18,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Wake Forest,NC,1000
981,non-Hispanic White,Caucasian,Female,44,36 to 74,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Chapel Hill,NC,1000
1107,non-Hispanic White,Caucasian,Female,62,36 to 74,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
1123,non-Hispanic White,Caucasian,Male,8,8 to 18,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Greensboro,NC,1000
1147,non-Hispanic White,Caucasian,Male,24,19 to 35,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
1156,non-Hispanic White,Caucasian,Female,23,19 to 35,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Saratoga,CA,1000
1164,non-Hispanic White,Caucasian,Female,13,8 to 18,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Zebulon,NC,1000
1599,non-Hispanic White,Caucasian,Male,35,19 to 35,0,none,Innie,usa,97374,usa,97374,,Unknown,NC,1000
1172,Asian,Asian,Female,42,36 to 74,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,FairFax,VA,1000
982,non-Hispanic White,Caucasian,Male,40,36 to 74,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Chapel Hill,NC,1000
1108,non-Hispanic White,Caucasian,Female,42,36 to 74,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Poquson,VA,1000
1116,non-Hispanic Black,African American/Caucasian,Female,17,8 to 18,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,North Wilkesboro,NC,1000
1124,non-Hispanic White,Caucasian,Female,28,19 to 35,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Durham,NC,1000
1132,Hispanic,Latin,Male,60,36 to 74,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Victoria,BC,1000
1140,Hispanic,Hispanic,Male,42,36 to 74,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Durham,NC,1000
1148,non-Hispanic White,Caucasian,Male,26,19 to 35,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Saratoga,CA,1000
1165,Unknown,Unknown,Male,1,0 to 7,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
1173,non-Hispanic White,Caucasian,Male,29,19 to 35,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
1109,non-Hispanic White,Caucasian,Male,23,19 to 35,Unknown,Unknown,Innie ,Unknown,Unknown,Unknown,Unknown,Unknown,Boston,MA,1000
1117,non-Hispanic White,Caucasian,Female,30,19 to 35,Unknown,Unknown,Innie,usa,54166,usa,54166,,Raleigh,NC,1000
1133,non-Hispanic White,Caucasian,Female,60,36 to 74,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Charlotte,NC,1000
1141,non-Hispanic White,Irish,Male,32,19 to 35,Unknown,Unknown,Outie,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
1149,non-Hispanic White,Caucasian,Female,18,8 to 18,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
1158,non-Hispanic White,Caucasian,Female,44,36 to 74,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
1166,non-Hispanic White,Caucasian,Male,20,19 to 35,Unknown,Unknown,Outie,Unknown,Unknown,Unknown,Unknown,Unknown,Durham,NC,1000
1174,Unknown,Unknown,Male,74,36 to 74,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Durham,NC,1000
1102,non-Hispanic White,Caucasian,Female,6,0 to 7,Unknown,Unknown,Outie,Unknown,Unknown,Unknown,Unknown,Unknown,Cape Carteret,NC,1000
1110,Unknown,Unknown,Female,23,19 to 35,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Washington,DC,1000
1134,non-Hispanic White,Caucasian,Male,27,19 to 35,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carboro,NC,1000
1142,Hispanic,Hispanic,Male,24,19 to 35,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Crp Chris,TX,1000
1150,non-Hispanic White,Caucasian,Male,59,36 to 74,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
1159,non-Hispanic White,Caucasian,Female,40,36 to 74,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
1167,non-Hispanic White,Caucasian,Male,21,19 to 35,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Fort Bragg,NC,1000
1175,non-Hispanic White,Caucasian,Female,18,8 to 18,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Wake Forest,NC,1000
965,non-Hispanic White,European,Female,37,36 to 74,7,7 days a week,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Durham,NC,1000
985,non-Hispanic White,Irish,Male,12,8 to 18,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Garner,NC,1000
1127,non-Hispanic White,Caucasian,Male,35,19 to 35,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Chapel Hill,NC,1000
1135,non-Hispanic White,Caucasian,Female,36,36 to 74,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Carboro,NC,1000
1143,Hispanic,Hispanic,Male,29,19 to 35,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
1151,non-Hispanic White,Caucasian,Female,19,19 to 35,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
1160,non-Hispanic White,Caucasian,Female,30,19 to 35,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Greenville,NC,1000
1168,non-Hispanic White,Caucasian,Female,18,8 to 18,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Fort Bragg,NC,1000
1176,Unknown,Unknown,Female,24,19 to 35,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
1104,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1000
1112,non-Hispanic White,Caucasian,Male,35,19 to 35,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Cary,NC,1000
1120,non-Hispanic White,Caucasian,Female,38,36 to 74,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Louisburg,NC,1000
1128,non-Hispanic White,Caucasian,Female,1,0 to 7,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Chapel Hill,NC,1000
1144,non-Hispanic White,Caucasian,Female,31,19 to 35,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Chapel Hill,NC,1000
1152,non-Hispanic White,Caucasian,Female,19,19 to 35,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
1324,Unknown,Unknown,Male,13,8 to 18,Unknown,Unknown,Outie,Unknown,Unknown,Unknown,Unknown,Unknown,New Bern,NC,1000
1332,Unknown,Unknown,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,SC,1000
1340,non-Hispanic White,Caucasian,Male,14,8 to 18,2,Less than 7,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Lexington,NC,1000
1184,Asian,Asian,Female,27,19 to 35,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
1193,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1000
1201,Unknown,Unknown,Female,28,19 to 35,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NC,1000
1247,non-Hispanic White,Caucasian,Female,4,0 to 7,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Atlanta,GA,1000
1261,non-Hispanic White,Caucasian,Female,46,36 to 74,7,7 days a week,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Clinton,NC,1000
1271,Hispanic,Hispanic,Male,11,8 to 18,7,7 days a week,Outie,Unknown,Unknown,Unknown,Unknown,Unknown,Clinton,NC,1000
1325,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1000
1333,non-Hispanic White,Caucasian,Female,36,36 to 74,14,More than 7,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Ayden,NC,1000
1177,Asian,Asian,Male,2,0 to 7,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,FairFax,VA,1000
1185,Asian,Asian,Female,4,0 to 7,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
1194,non-Hispanic White,Caucasian,Male,4,0 to 7,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Chapel Hill,NC,1000
1202,Asian,Asian,Male,27,19 to 35,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
1249,non-Hispanic White,Caucasian,Female,41,36 to 74,1,Less than 7,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
1262,non-Hispanic White,Caucasian,Male,46,36 to 74,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NC,1000
1272,non-Hispanic White,Caucasian,Male,51,36 to 74,2,Less than 7,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1000
1306,non-Hispanic White,Caucasian,Female,37,36 to 74,5,Less than 7,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Raleigh,NC,1000
1317,Hispanic,Hispanic,Female,4,0 to 7,5,Less than 7,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Cary,NC,1000
1334,Hispanic,Mexican,Female,34,19 to 35,1,Less than 7,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Southern Pines,NC,1000
1178,non-Hispanic White,Caucasian,Female,23,19 to 35,Unknown,Unknown,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Durham,NC,1000
1342,non-Hispanic White,Caucasian,Male,33,19 to 35,4,Less than 7,Innie,Unknown,Unknown,Unknown,Unknown,Unknown,Lexington,NC,1000
