city,Cloudiness,country,Date,Humidity,lat,lon,Max Temp,Wind Speed
taoudenni,0.0,ml,2018-03-02 06:37:53,60.0,22.30,-4.55,54.65,3.42
okhotsk,0.0,ru,2018-03-02 06:37:53,96.0,60.85,141.54,9.65,1.19
weinan,12.0,cn,2018-03-02 06:00:00,44.0,35.10,109.70,57.2,6.71
itoman,75.0,jp,2018-03-02 06:00:00,56.0,19.55,129.96,69.8,8.05
nouadhibou,12.0,mr,2018-03-02 06:00:00,88.0,21.12,-18.99,62.6,8.05
victoria,75.0,sc,2018-03-02 05:30:00,88.0,-0.92,56.61,86,4.7
geraldton,5.0,au,2018-03-02 06:00:00,92.0,-29.28,110.09,5,3.36
hilo,90.0,us,2018-03-02 06:02:00,88.0,17.17,-139.13,69.8,8.05
jinchang,0.0,cn,2018-03-02 06:37:57,71.0,40.80,103.47,48.89,7
ushuaia,75.0,ar,2018-03-02 06:00:00,76.0,-86.48,-62.02,48.2,25.28
kaeo,92.0,nz,2018-03-02 06:37:57,99.0,-27.19,176.90,68.24,15.17
yabrud,0.0,sy,2018-03-02 06:00:00,87.0,34.30,36.55,48.2,2.42
verkh-usugli,32.0,ru,2018-03-02 06:37:58,48.0,52.84,114.54,7.13,3.76
atuona,64.0,pf,2018-03-02 06:36:30,97.0,-12.09,-138.22,82.01,18.07
mataura,68.0,pf,2018-03-02 06:37:59,75.0,-43.47,-145.03,71.03,9.46
rikitea,92.0,pf,2018-03-02 06:36:38,100.0,-20.66,-110.60,80.89,18.86
talnakh,48.0,ru,2018-03-02 06:37:59,75.0,73.57,89.89,-7.5,19.19
ushuaia,75.0,ar,2018-03-02 06:00:00,76.0,-72.44,-77.93,48.2,25.28
sao filipe,0.0,cv,2018-03-02 06:36:40,100.0,10.65,-26.67,68.56,9.24
rio gallegos,0.0,ar,2018-03-02 06:00:00,50.0,-52.40,-66.86,55.4,10.29
ushuaia,75.0,ar,2018-03-02 06:00:00,76.0,-69.27,-31.33,48.2,25.28
ushuaia,75.0,ar,2018-03-02 06:00:00,76.0,-74.67,-49.66,48.2,25.28
busselton,0.0,au,2018-03-02 06:36:37,93.0,-35.37,113.25,71.3,16.62
cape town,0.0,za,2018-03-02 06:00:00,56.0,-69.28,-16.11,69.8,6.93
ushuaia,75.0,ar,2018-03-02 06:00:00,76.0,-88.75,-53.05,48.2,25.28
cabo san lucas,5.0,mx,2018-03-02 05:46:00,59.0,8.62,-123.06,60.8,5.82
yellowknife,90.0,ca,2018-03-02 06:00:00,63.0,77.79,-100.26,-7.61,9.17
albany,90.0,au,2018-03-02 06:19:00,86.0,-67.27,119.63,39.2,9.17
kapaa,90.0,us,2018-03-02 05:56:00,88.0,21.04,-166.64,73.4,19.46
